Австралия	Канберра
Vatican City	Vatican City
Seychelles	Victoria
Austria	Vienna
Laos	Vientiane
Lithuania	Vilnius
Poland	Warsaw
United States	Washington D.C.
New Zealand	Wellington
Namibia	Windhoek
Cote d'Ivoire	Yamoussoukro
Cameroon	Yaounde
Armenia	Yerevan
Nauru	No official capital
Croatia	Zagreb
